From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A494C1I1	A0A494C1I1	unreviewed	A0A494C1I1_HUMAN	Uncharacterized protein	LOC728392	Homo sapiens (Human)	119
A0A590UJ96	A0A590UJ96	unreviewed	A0A590UJ96_HUMAN	Uncharacterized protein	LOC122526780	Homo sapiens (Human)	1178
A0A590UK10	A0A590UK10	unreviewed	A0A590UK10_HUMAN	Rho guanine nucleotide exchange factor 18	ARHGEF18	Homo sapiens (Human)	1089
Q6ZSZ5	Q6ZSZ5	reviewed	ARHGI_HUMAN	Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF)	ARHGEF18 KIAA0521	Homo sapiens (Human)	1361
A0AAG2SUX2	A0AAG2SUX2	unreviewed	A0AAG2SUX2_HUMAN	Olduvai domain-containing protein	LOC124905564	Homo sapiens (Human)	672
A0AAG2UXD8	A0AAG2UXD8	unreviewed	A0AAG2UXD8_HUMAN	Olduvai domain-containing protein	LOC102724250	Homo sapiens (Human)	1704
A0AAG2UXK7	A0AAG2UXK7	unreviewed	A0AAG2UXK7_HUMAN	Olduvai domain-containing protein	LOC124905564	Homo sapiens (Human)	1704
A0AAG2UXS2	A0AAG2UXS2	unreviewed	A0AAG2UXS2_HUMAN	Olduvai domain-containing protein	LOC124905558	Homo sapiens (Human)	1704
Q3BBV0	Q3BBV0	reviewed	NBPF1_HUMAN	NBPF family member NBPF1 (Neuroblastoma breakpoint family member 1)	NBPF1 KIAA1693	Homo sapiens (Human)	1214
Q5TAG4	Q5TAG4	reviewed	NBPFC_HUMAN	NBPF family member NBPF12 (Chromosome 1 amplified sequence 1) (Neuroblastoma breakpoint family member 12)	NBPF12 COAS1 KIAA1245	Homo sapiens (Human)	1457
Q86T75	Q86T75	reviewed	NBPFB_HUMAN	NBPF family member NBPF11 (Neuroblastoma breakpoint family member 11) (Neuroblastoma breakpoint family member 24)	NBPF11 NBPF24	Homo sapiens (Human)	865
A0AAG2UWQ9	A0AAG2UWQ9	unreviewed	A0AAG2UWQ9_HUMAN	NF-kappa-B-repressing factor	NKRF	Homo sapiens (Human)	784
A0AAG2UXZ5	A0AAG2UXZ5	unreviewed	A0AAG2UXZ5_HUMAN	Collagen type XVIII alpha 1 chain (Collagen, type XVIII, alpha 1, isoform CRA_b)	COL18A1 hCG_1647196	Homo sapiens (Human)	1516
P39060	P39060	reviewed	COIA1_HUMAN	Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)]	COL18A1	Homo sapiens (Human)	1754
A0AV96	A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593
A0AVF1	A0AVF1	reviewed	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	IFT56 TTC26	Homo sapiens (Human)	554
A0AVT1	A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052
A0FGR8	A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
A0JLT2	A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244
A0JNW5	A0JNW5	reviewed	BLT3B_HUMAN	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	BLTP3B KIAA0701 SHIP164 UHRF1BP1L	Homo sapiens (Human)	1464
A0MZ66	A0MZ66	reviewed	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631
A0PJW6	A0PJW6	reviewed	TM223_HUMAN	Transmembrane protein 223	TMEM223	Homo sapiens (Human)	202
A0PK00	A0PK00	reviewed	T120B_HUMAN	Transmembrane protein 120B	TMEM120B	Homo sapiens (Human)	339
A1A4S6	A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
A1KXE4	A1KXE4	reviewed	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	FAM168B KIAA0280L MANI	Homo sapiens (Human)	195
A1L020	A1L020	reviewed	MEX3A_HUMAN	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	MEX3A RKHD4	Homo sapiens (Human)	520
A1L0T0	A1L0T0	reviewed	HACL2_HUMAN	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	ILVBL AHAS HACL2	Homo sapiens (Human)	632
A1L170	A1L170	reviewed	CA226_HUMAN	Uncharacterized protein C1orf226	C1orf226	Homo sapiens (Human)	272
A1L188	A1L188	reviewed	NDUF8_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUFAF8 C17orf89	Homo sapiens (Human)	74
A1L390	A1L390	reviewed	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	PLEKHG3 KIAA0599	Homo sapiens (Human)	1219
A1X283	A1X283	reviewed	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911
A2A2Y4	A2A2Y4	reviewed	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597
A2A3N6	A2A3N6	reviewed	PIPSL_HUMAN	Putative PIP5K1A and PSMD4-like protein (PIP5K1A-PSMD4)	PIPSL PSMD4P2	Homo sapiens (Human)	862
A2AJT9	A2AJT9	reviewed	BCLA3_HUMAN	BCLAF1 and THRAP3 family member 3	BCLAF3 CXorf23	Homo sapiens (Human)	711
A2RRD8	A2RRD8	reviewed	ZN320_HUMAN	Zinc finger protein 320	ZNF320	Homo sapiens (Human)	509
A2RRP1	A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371
A2RTX5	A2RTX5	reviewed	SYTC2_HUMAN	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)	TARS3 TARSL2	Homo sapiens (Human)	802
A2RU67	A2RU67	reviewed	F234B_HUMAN	Protein FAM234B	FAM234B KIAA1467	Homo sapiens (Human)	622
A2RUC4	A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315
A2RUS2	A2RUS2	reviewed	DEND3_HUMAN	DENN domain-containing protein 3	DENND3 KIAA0870	Homo sapiens (Human)	1198
A2VEC9	A2VEC9	reviewed	SSPO_HUMAN	SCO-spondin (SCO-spondin pseudogene)	SSPOP KIAA2036 SSPO	Homo sapiens (Human)	5150
A3KMH1	A3KMH1	reviewed	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	VWA8 KIAA0564	Homo sapiens (Human)	1905
A3KN83	A3KN83	reviewed	SBNO1_HUMAN	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	SBNO1 MOP3	Homo sapiens (Human)	1393
A3QJZ6	A3QJZ6	reviewed	PRA22_HUMAN	PRAME family member 22	PRAMEF22	Homo sapiens (Human)	481
Q5VWM3	Q5VWM3	reviewed	PRA18_HUMAN	PRAME family member 18	PRAMEF18	Homo sapiens (Human)	479
A4D1E9	A4D1E9	reviewed	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	GTPBP10 OBGH2 UG0751c10	Homo sapiens (Human)	387
A4D1P6	A4D1P6	reviewed	WDR91_HUMAN	WD repeat-containing protein 91	WDR91 HSPC049	Homo sapiens (Human)	747
A4D1S5	A4D1S5	reviewed	RAB19_HUMAN	Ras-related protein Rab-19 (EC 3.6.5.2)	RAB19 RAB19B	Homo sapiens (Human)	217
A4D2B0	A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266
A4UGR9	A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	XIRP2 CMYA3	Homo sapiens (Human)	3374
A5A3E0	A5A3E0	reviewed	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)	1075
A5A614	A5A614	reviewed	YCIZ_ECOLI	UPF0509 protein YciZ	yciZ b4596 JW1277	Escherichia coli (strain K12)	57
A5D8V6	A5D8V6	reviewed	VP37C_HUMAN	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	VPS37C PML39	Homo sapiens (Human)	355
A5PLL7	A5PLL7	reviewed	PEDS1_HUMAN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	PEDS1 KUA PEDS TMEM189	Homo sapiens (Human)	270
A5PLN9	A5PLN9	reviewed	TPC13_HUMAN	Trafficking protein particle complex subunit 13	TRAPPC13 C5orf44	Homo sapiens (Human)	417
A5YKK6	A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376
A5YM69	A5YM69	reviewed	ARG35_HUMAN	Rho guanine nucleotide exchange factor 35 (Rho guanine nucleotide exchange factor 5-like protein)	ARHGEF35 ARHGEF5L	Homo sapiens (Human)	484
A5Z2X5	A5Z2X5	reviewed	YP010_YEAST	UPF0495 protein YPR010C-A	YPR010C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	72
A6H8Y1	A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624
A6NCE7	A6NCE7	reviewed	MP3B2_HUMAN	Microtubule-associated protein 1 light chain 3 beta 2 (Microtubule-associated proteins 1A/1B light chain 3 beta 2) (Microtubule-associated proteins 1A/1B light chain 3B-like) (MAP1A/MAP1B LC3 B-like) (MAP1A/MAP1B light chain 3 B-like)	MAP1LC3B2	Homo sapiens (Human)	125
Q9GZQ8	Q9GZQ8	reviewed	MLP3B_HUMAN	Microtubule-associated protein 1 light chain 3 beta (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (Microtubule-associated proteins 1A/1B light chain 3B) (MAP1A/MAP1B LC3 B) (MAP1A/MAP1B light chain 3 B)	MAP1LC3B MAP1ALC3	Homo sapiens (Human)	125
A6ND36	A6ND36	reviewed	FA83G_HUMAN	Protein FAM83G (Protein associated with SMAD1)	FAM83G PAWS1	Homo sapiens (Human)	823
A6NDG6	A6NDG6	reviewed	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	Homo sapiens (Human)	321
A6NDU8	A6NDU8	reviewed	RIMC1_HUMAN	RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51)	RIMOC1 C5orf51	Homo sapiens (Human)	294
A6NDY0	A6NDY0	reviewed	EPAB2_HUMAN	Embryonic polyadenylate-binding protein 2 (Embryonic poly(A)-binding protein 2) (ePABP-2) (ePABP2) (Embryonic poly(A)-binding protein type II) (Poly(A)-binding protein nuclear-like 1)	PABPN1L EPABP2 PABPNL1	Homo sapiens (Human)	278
A6NED2	A6NED2	reviewed	RCCD1_HUMAN	RCC1 domain-containing protein 1	RCCD1	Homo sapiens (Human)	376
A6NFI3	A6NFI3	reviewed	ZN316_HUMAN	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004
A6NFY7	A6NFY7	reviewed	SDHF1_HUMAN	Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)	SDHAF1 LYRM8	Homo sapiens (Human)	115
A6NHL2	A6NHL2	reviewed	TBAL3_HUMAN	Tubulin alpha chain-like 3 (EC 3.6.5.-)	TUBAL3	Homo sapiens (Human)	446
A6NHR9	A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005
A6NHX0	A6NHX0	reviewed	CAST2_HUMAN	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	CASTOR2 GATSL1 GATSL2	Homo sapiens (Human)	329
A6NHZ5	A6NHZ5	reviewed	LR14B_HUMAN	Leucine-rich repeat-containing protein 14B	LRRC14B	Homo sapiens (Human)	514
A6NIH7	A6NIH7	reviewed	U119B_HUMAN	Protein unc-119 homolog B	UNC119B	Homo sapiens (Human)	251
A6NIX2	A6NIX2	reviewed	WTIP_HUMAN	Wilms tumor protein 1-interacting protein (WT1-interacting protein)	WTIP	Homo sapiens (Human)	430
A6NJ78	A6NJ78	reviewed	MET15_HUMAN	12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	407
A6NJL1	A6NJL1	reviewed	ZSA5B_HUMAN	Zinc finger and SCAN domain-containing protein 5B	ZSCAN5B	Homo sapiens (Human)	495
Q9BUG6	Q9BUG6	reviewed	ZSA5A_HUMAN	Zinc finger and SCAN domain-containing protein 5A (Zinc finger protein 495)	ZSCAN5A ZNF495 ZSCAN5	Homo sapiens (Human)	496
A6NK58	A6NK58	reviewed	LIPT2_HUMAN	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	LIPT2	Homo sapiens (Human)	231
A6NKD9	A6NKD9	reviewed	CC85C_HUMAN	Coiled-coil domain-containing protein 85C	CCDC85C	Homo sapiens (Human)	419
A6NKF1	A6NKF1	reviewed	SAC31_HUMAN	SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1)	SAC3D1 SHD1	Homo sapiens (Human)	404
A6NMK7	A6NMK7	reviewed	CPS4L_HUMAN	Putative cleavage and polyadenylation specificity factor subunit 4-like protein	CPSF4L	Homo sapiens (Human)	179
A6PVC2	A6PVC2	reviewed	TTLL8_HUMAN	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)	TTLL8	Homo sapiens (Human)	850
A7E2V4	A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837
A8CG34	A8CG34	reviewed	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)	1229
A8K0R7	A8K0R7	reviewed	ZN839_HUMAN	Zinc finger protein 839 (Renal carcinoma antigen NY-REN-50)	ZNF839 C14orf131	Homo sapiens (Human)	811
A8K855	A8K855	reviewed	EFCB7_HUMAN	EF-hand calcium-binding domain-containing protein 7	EFCAB7 KIAA1799	Homo sapiens (Human)	629
A8K8P3	A8K8P3	reviewed	SFI1_HUMAN	Protein SFI1 homolog (hSFI1)	SFI1 KIAA0542	Homo sapiens (Human)	1242
A8MPP1	A8MPP1	reviewed	D11L8_HUMAN	Putative ATP-dependent DNA helicase DDX11-like protein 8 (EC 5.6.2.-) (DEAD/H box protein 11-like 8)	DDX11L8	Homo sapiens (Human)	907
A8MQ03	A8MQ03	reviewed	CRTP1_HUMAN	Cysteine-rich tail protein 1	CYSRT1 C9orf169	Homo sapiens (Human)	144
A8MT69	A8MT69	reviewed	CENPX_HUMAN	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	Homo sapiens (Human)	81
A8MTB9	A8MTB9	reviewed	CEA18_HUMAN	Cell adhesion molecule CEACAM18 (Carcinoembryonic antigen-related cell adhesion molecule 18) (CEA cell adhesion molecule 18)	CEACAM18	Homo sapiens (Human)	384
A8MTL9	A8MTL9	reviewed	HMSD_HUMAN	Serpin-like protein HMSD (Minor histocompatibility protein HMSD) (Minor histocompatibility serpin domain-containing protein)	HMSD	Homo sapiens (Human)	139
A8MTT3	A8MTT3	reviewed	CEBOS_HUMAN	Protein CEBPZOS (CEBPZ antisense RNA 1) (CEBPZ opposite strand)	CEBPZOS CEBPZ-AS1	Homo sapiens (Human)	80
A8MUP2	A8MUP2	reviewed	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)	CSKMT METTL12	Homo sapiens (Human)	240
A8MUU1	A8MUU1	reviewed	FB5L3_HUMAN	Putative fatty acid-binding protein 5-like protein 3 (Fatty acid-binding protein 5 pseudogene 3)	FABP5P3 FABP5L3	Homo sapiens (Human)	101
A8MV65	A8MV65	reviewed	VGLL3_HUMAN	Transcription cofactor vestigial-like protein 3 (Vgl-3)	VGLL3	Homo sapiens (Human)	326
A8MWD9	A8MWD9	reviewed	RUXGL_HUMAN	Putative small nuclear ribonucleoprotein G-like protein 15	SNRPGP15	Homo sapiens (Human)	76
P62308	P62308	reviewed	RUXG_HUMAN	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76
A8MXT2	A8MXT2	reviewed	MAGBH_HUMAN	Melanoma-associated antigen B17	MAGEB17	Homo sapiens (Human)	336
A8MXV4	A8MXV4	reviewed	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	NUDT19	Homo sapiens (Human)	375
A8MZ36	A8MZ36	reviewed	EVPLL_HUMAN	Envoplakin-like protein	EVPLL	Homo sapiens (Human)	301
A9UHW6	A9UHW6	reviewed	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	MIF4GD SLIP1	Homo sapiens (Human)	222
B0I1T2	B0I1T2	reviewed	MYO1G_HUMAN	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]	MYO1G HA2	Homo sapiens (Human)	1018
B0YJ81	B0YJ81	reviewed	HACD1_HUMAN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	HACD1 PTPLA	Homo sapiens (Human)	288
B2RC85	B2RC85	reviewed	R10B2_HUMAN	Radial spoke head 10 homolog B2	RSPH10B2	Homo sapiens (Human)	870
P0C881	P0C881	reviewed	R10B1_HUMAN	Radial spoke head 10 homolog B	RSPH10B	Homo sapiens (Human)	870
B2RD01	B2RD01	reviewed	CENP1_HUMAN	Putative CENPB DNA-binding domain-containing protein 1	CENPBD1P CENPBD1	Homo sapiens (Human)	187
B2RNN3	B2RNN3	reviewed	C1T9B_HUMAN	Complement C1q and tumor necrosis factor-related protein 9B (C1q/TNF-related protein 9B) (CTRP9B) (Complement C1q and tumor necrosis factor-related protein 9-like)	C1QTNF9B	Homo sapiens (Human)	333
P0C862	P0C862	reviewed	C1T9A_HUMAN	Complement C1q and tumor necrosis factor-related protein 9A (Complement C1q and tumor necrosis factor-related protein 9)	C1QTNF9 C1QTNF9A UNQ6503/PRO21380	Homo sapiens (Human)	333
B2RTY4	B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)	2548
B3EWF7	B3EWF7	reviewed	EP2A2_HUMAN	Laforin, isoform 9	EPM2A	Homo sapiens (Human)	344
B3KNS4	B3KNS4	unreviewed	B3KNS4_HUMAN	Endogenous retrovirus group K3 member 1 (HCG2043597, isoform CRA_a) (cDNA FLJ30306 fis, clone BRACE2003319)	ERVK3-1 hCG_2043597	Homo sapiens (Human)	109
B5MCN3	B5MCN3	reviewed	S14L6_HUMAN	SEC14-like protein 6	SEC14L6	Homo sapiens (Human)	397
B5MCY1	B5MCY1	reviewed	TDR15_HUMAN	Tudor domain-containing protein 15	TDRD15	Homo sapiens (Human)	1934
B7ZAQ6	B7ZAQ6	reviewed	GPHRA_HUMAN	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	Homo sapiens (Human)	455
P0CG08	P0CG08	reviewed	GPHRB_HUMAN	Golgi pH regulator B (Protein GPR89B)	GPR89B GPHR GPR89 GPR89C SH120 HSPC201	Homo sapiens (Human)	455
B7ZW38	B7ZW38	reviewed	HNRC3_HUMAN	Heterogeneous nuclear ribonucleoprotein C-like 3	HNRNPCL3	Homo sapiens (Human)	293
O60812	O60812	reviewed	HNRC1_HUMAN	Heterogeneous nuclear ribonucleoprotein C-like 1 (hnRNP C-like-1) (hnRNP core protein C-like 1)	HNRNPCL1 HNRPCL1	Homo sapiens (Human)	293
P0DMR1	P0DMR1	reviewed	HNRC4_HUMAN	Heterogeneous nuclear ribonucleoprotein C-like 4	HNRNPCL4	Homo sapiens (Human)	293
B9A064	B9A064	reviewed	IGLL5_HUMAN	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	IGLL5	Homo sapiens (Human)	214
C4AMC7	C4AMC7	reviewed	WASH3_HUMAN	Putative WAS protein family homolog 3 (Protein FAM39DP)	WASH3P FAM39DP	Homo sapiens (Human)	463
Q6VEQ5	Q6VEQ5	reviewed	WASH2_HUMAN	WAS protein family homolog 2 (CXYorf1-like protein on chromosome 2) (Protein FAM39B)	WASH2P FAM39B	Homo sapiens (Human)	465
C9J7I0	C9J7I0	reviewed	UMAD1_HUMAN	UBAP1-MVB12-associated (UMA)-domain containing protein 1 (RPA3 antisense RNA 1) (RPA3 opposite strand)	UMAD1 RPA3-AS1 RPA3OS	Homo sapiens (Human)	137
C9JI98	C9JI98	reviewed	TM238_HUMAN	Transmembrane protein 238	TMEM238	Homo sapiens (Human)	176
C9JLR9	C9JLR9	reviewed	ZFTA_HUMAN	Zinc finger translocation-associated protein (ZFTA)	ZFTA C11orf95	Homo sapiens (Human)	678
C9JLW8	C9JLW8	reviewed	MCRI1_HUMAN	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	MCRIP1 FAM195B GRAN2	Homo sapiens (Human)	97
D6VTK4	D6VTK4	reviewed	STE2_YEAST	Pheromone alpha factor receptor	STE2 YFL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431
E9PAV3	E9PAV3	reviewed	NACAM_HUMAN	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	Homo sapiens (Human)	2078
E9PRG8	E9PRG8	reviewed	CK098_HUMAN	Uncharacterized protein C11orf98	C11orf98	Homo sapiens (Human)	123
H0Y944	H0Y944	unreviewed	H0Y944_HUMAN	Calpastatin (Calpain inhibitor)	CAST	Homo sapiens (Human)	210
